Nome,Simbolo,Data,Maximo,Minimo,Abertura,Fechamento,Volume,Cap. de Mercado
Ethereum,ETH,2016-11-04,11.122200012207031,10.817500114440918,10.817500114440918,11.090700149536133,9958040.0,949862034.866
Ethereum,ETH,2016-11-05,11.236599922180176,10.883399963378906,11.094799995422363,11.0024995803833,5502670.0,942653972.443
Ethereum,ETH,2016-11-06,11.245400428771973,10.85200023651123,10.991700172424316,10.873499870300291,5688710.0,931947467.415
Ethereum,ETH,2016-11-07,10.956700325012209,10.784299850463867,10.90369987487793,10.808799743652344,5992480.0,926761430.161
Ethereum,ETH,2016-11-08,10.92430019378662,10.739800453186035,10.850600242614746,10.833700180053713,6258150.0,929246806.554
Ethereum,ETH,2016-11-09,10.83489990234375,10.222900390625,10.819899559020996,10.655500411987305,14606600.0,914292102.712
Ethereum,ETH,2016-11-10,10.67710018157959,10.513299942016602,10.674699783325195,10.524499893188477,4253980.0,903380023.603
Ethereum,ETH,2016-11-11,10.572699546813965,10.256999969482422,10.513999938964844,10.289899826049805,6056300.0,883565427.341
Ethereum,ETH,2016-11-12,10.336199760437012,9.697310447692873,10.292400360107422,9.877960205078123,10052500.0,848509382.067
Ethereum,ETH,2016-11-13,10.412699699401855,9.84175968170166,9.887649536132812,10.101499557495115,8227770.0,868038289.724
Ethereum,ETH,2016-11-14,10.157099723815918,9.956040382385254,10.098199844360352,9.966480255126951,3573250.0,856753360.514
Ethereum,ETH,2016-11-15,10.321900367736816,9.8514404296875,9.97194004058838,10.217499732971191,6557550.0,878653066.673
Ethereum,ETH,2016-11-16,10.326600074768066,9.931429862976074,10.217000007629396,10.059100151062012,9533550.0,865349966.468
Ethereum,ETH,2016-11-17,10.190199851989746,9.920249938964844,10.059599876403809,9.991180419921877,6984700.0,859814327.73
Ethereum,ETH,2016-11-18,10.006099700927734,9.476160049438477,9.98834991455078,9.476160049438477,10816100.0,815806831.578
Ethereum,ETH,2016-11-19,9.745820045471191,9.482080459594728,9.48281955718994,9.662759780883787,5186540.0,832183861.162
Ethereum,ETH,2016-11-20,9.711090087890623,9.520170211791992,9.661210060119627,9.579279899597168,5173420.0,825305262.014
Ethereum,ETH,2016-11-21,9.637789726257324,9.5416898727417,9.580160140991213,9.620820045471191,3663210.0,829190390.813
Ethereum,ETH,2016-11-22,10.238800048828123,9.591099739074709,9.625760078430176,9.905719757080078,11284400.0,854053527.945
Ethereum,ETH,2016-11-23,9.95925998687744,9.763790130615234,9.919770240783691,9.843620300292969,4812310.0,849020680.045
Ethereum,ETH,2016-11-24,9.85260009765625,8.928609848022461,9.846030235290527,9.231670379638672,15987800.0,796538441.764
Ethereum,ETH,2016-11-25,9.752519607543944,9.211230278015137,9.228529930114746,9.402050018310549,7669720.0,811553948.618
Ethereum,ETH,2016-11-26,9.50102996826172,9.310750007629396,9.416430473327637,9.328109741210938,3505990.0,805474197.902
Ethereum,ETH,2016-11-27,9.33351993560791,8.775500297546387,9.312020301818848,8.998470306396484,8707660.0,777313921.782
Ethereum,ETH,2016-11-28,9.011679649353027,8.723609924316406,8.99843978881836,8.724820137023926,6046890.0,753971438.306
Ethereum,ETH,2016-11-29,8.744429588317871,7.875730037689209,8.728699684143066,8.17411994934082,17000400.0,706651178.639
Ethereum,ETH,2016-11-30,8.751130104064941,8.15548038482666,8.15548038482666,8.587539672851562,10626600.0,742664775.158
Ethereum,ETH,2016-12-01,8.64603042602539,8.359060287475586,8.601619720458984,8.452500343322754,5882340.0,731254342.065
Ethereum,ETH,2016-12-02,8.455570220947266,7.417799949645996,8.455570220947266,7.759960174560547,18579800.0,671587251.627
Ethereum,ETH,2016-12-03,8.151169776916504,7.668240070343018,7.766329765319824,7.921339988708496,12112100.0,685808135.756
Ethereum,ETH,2016-12-04,7.947770118713379,7.443679809570312,7.903429985046387,7.443679809570312,8450790.0,644685715.26
Ethereum,ETH,2016-12-05,7.63886022567749,6.6554999351501465,7.410590171813965,6.821660041809082,17344500.0,591026579.307
Ethereum,ETH,2016-12-06,7.922679901123047,5.978869915008545,6.804599761962891,7.868929862976074,50671200.0,682013454.453
Ethereum,ETH,2016-12-07,8.540840148925781,7.328440189361572,7.894830226898193,8.38148021697998,22229600.0,726702379.806
Ethereum,ETH,2016-12-08,8.861330032348633,8.230509757995605,8.383500099182129,8.230509757995605,16042700.0,713877391.353
Ethereum,ETH,2016-12-09,8.674090385437012,8.054329872131348,8.168140411376953,8.446009635925293,12916300.0,732836297.328
Ethereum,ETH,2016-12-10,8.528409957885742,8.016770362854004,8.438369750976562,8.125160217285156,8108370.0,705254560.817
Ethereum,ETH,2016-12-11,8.268560409545898,8.10299015045166,8.126409530639648,8.193619728088379,5545500.0,711457158.663
Ethereum,ETH,2016-12-12,8.606329917907715,8.165080070495605,8.192359924316406,8.522210121154785,9119700.0,740255865.722
Ethereum,ETH,2016-12-13,8.530890464782715,8.345720291137695,8.520400047302246,8.422849655151367,4486190.0,731892846.089
Ethereum,ETH,2016-12-14,8.51865005493164,8.248869895935059,8.451499938964844,8.265230178833008,7337220.0,718460238.569
Ethereum,ETH,2016-12-15,8.235329627990723,7.722410202026367,8.235329627990723,7.828470230102539,13184400.0,680740349.205
Ethereum,ETH,2016-12-16,7.934770107269287,7.804470062255859,7.859039783477783,7.85821008682251,5178610.0,683575806.439
Ethereum,ETH,2016-12-17,7.899109840393066,7.520569801330566,7.855690002441406,7.876589775085449,8502620.0,685426528.261
Ethereum,ETH,2016-12-18,7.932859897613525,7.719480037689209,7.860519886016846,7.865320205688477,5890020.0,684696554.842
Ethereum,ETH,2016-12-19,7.869430065155029,7.625189781188965,7.869430065155029,7.643819808959961,5894760.0,665654987.232
Ethereum,ETH,2016-12-20,7.7459001541137695,7.571599960327148,7.6336798667907715,7.660039901733398,6313550.0,667309961.101
